,Artist,Event_link,Club,City,Date,Time,Followers,Tracks
86,Audiotistic Bay Area 2020 ,http://www.afternoonbliss.com/, Shoreline Amphitheatre ,Mountain View, Jul 11-Sun: Jul 12 ,Sat: 2pm-Sun: 10pm,0,0
87,"Ayli 10 Year Kickoff: Joy Orbison b2b Ben Ufo, Or:LA ",https://www.residentadvisor.net/events/1401181, Public Works ,San Francisco, Jul 10 ,9pm-4am,0,0
88,Ben Bohmer (Live) ***POSTPONED*** ,https://www.eventbrite.com/e/postponed-bedouin-einmusik-at-public-works-tickets-94736488387, Audio ,San Francisco, Jul 9 ,9:30pm-2:30am,0,0
89,Pink Block  Pride Saturday 2020 ,https://www.eventbrite.com/e/pizza-and-techno-at-audio-sf-freshly-baked-2020-tickets-95121361553, The Great Northern ,San Francisco, Jun 27 ,12pm-9pm,0,0
90,Sunday Bliss w/ Mr. V & Nelson Cuberli ,https://www.facebook.com/events/505020153446995/, Lost & Found ,Oakland, Jul 5 ,2pm-9pm,0,0
91,Rescheduled: Sequence 07.30: Gentlemens Club + Dirtysnatcha ,https://www.eventbrite.com/e/rescheduled-sequence-0730-gentlemens-club-dirtysnatcha-tickets-99139285271, DNA Lounge ,San Francisco, Jul 30 ,9pm-2am,0,0
92,Sequence: Gentlemens Club + Dirtysnatcha ,https://www.facebook.com/events/529721134066176/, DNA Lounge ,San Francisco, Jul 30 ,9pm-2am,0,0
93,Star Camp Shasta 2020 ,https://www.facebook.com/events/301806020539991/, StarSeed ,Mount Shasta, Jul 31-Mon: Aug 3 ,Fri: 7pm-Mon: 12pm,0,0
94,Shifting Plates: An East Bay Record Fair ,https://www.eventbrite.com/e/shifting-plates-an-east-bay-record-fair-sun-april-5th-2020-tickets-93452708567, CCW Bar and Restaurant ,Oakland, Jun 7 ,10am-6pm,0,0
95,Sunday Bliss 5yr Anniversary w/ Seven Davis Jr. ,https://www.facebook.com/events/505020153446995/, Lost And Found ,Oakland, Aug 2 ,2pm-9pm,0,0
96,Some Are Camp 2020 - The World ,https://www.facebook.com/events/529721134066176/, 15905 River Rd ,Guerneville, Aug 7-Sun: Aug 9 ,Fri: 11am-Sun: 7pm,0,0
97,Phantoms (DJ Set) ,https://www.eventbrite.com/e/phantoms-dj-set-tickets-95285289867, Audio ,San Francisco, Aug 7 ,9:30pm-2am,0,0
98,"Fisher: Bay Area Block Party w/Felix da Housecat, SG Lewis, Solardo, Lady Ryan , Sharon Buck, Michael Bricker / Ice Creams b2b Wilaa, DJ Katie / Viszla , DJ Mes / Phleck ",https://insomniac.frontgatetickets.com/event/zzn92tae7eq9nja9, Lake Merritt Plaza ,Oakland, Jun 20 ,2pm,0,0
99,Rescheduled: Sequence 08.13: Tisoki + Minesweepa ,https://www.eventbrite.com/e/rescheduled-sequence-0730-gentlemens-club-dirtysnatcha-tickets-99139285271, DNA Lounge ,San Francisco, Aug 13 ,9pm-2am,0,0
100,[Cancelled] All Day I Dream Of Golden Days ,https://www.residentadvisor.net/events/1400340, Golden Gate Park ,San Francisco, Jun 20 ,12pm-7pm,0,0
101,"Whethan, Chrome Sparks, Ramzoid ",https://www.facebook.com/WERDUPSF/events, The Warfield ,San Francisco, Aug 22 ,8pm,0,0
102,Heatwave Rooftop Party ,https://www.eventbrite.com/e/heatwave-60s-motown70s-discoclassic-house-rooftop-day-party-tickets-94788546093, Hotel Via ,San Francisco, Aug 23 ,1pm-8pm,0,0
103,Bay Area House Dance Festival 2020 - 24 Hour House Dance Cypher ,https://www.facebook.com/events/626774528122954/, TBA ,West Oakland, Aug 28-Sun: Aug 30 ,Fri: 8pm-Sun: 10pm,0,0
104,Rescheduled: Sequence 08.28: Spag Heddy & Effin ,https://www.eventbrite.com/e/rescheduled-sequence-0730-gentlemens-club-dirtysnatcha-tickets-99139285271, DNA Lounge ,San Francisco, Aug 28 ,9pm-3am,0,0
105,Gammer - Rescheduled ,https://www.eventbrite.com/e/gammer-rescheduled-to-september-tickets-94562832979, Park Ultra Lounge ,Sacramento, Sep 3 ,9pm-2am,0,0
106,Sequence: Arius ,https://www.facebook.com/events/529721134066176/, DNA Lounge ,San Francisco, Sep 3 ,9pm-2am,0,0
107,44 To The Floor ,https://www.facebook.com/events/1284743545054583/, Lvl 44 ,San Jose, Jul 1 ,10pm-2am,0,0
108,Club Necromancy - 3 Year Anniversary ,https://www.twitch/tv/djkeyz2020, Livestream ,Online, Jun 20 ,8am-1am,0,0
